EI0RC, A, 0, -inf, -inf, inf
33ASK, B, 1, inf, -inf, inf
76AUB, B, 2, -inf, -inf, inf
D3L1P, C, 3, inf, -inf, inf
4RTKC, A, 4, -inf, -inf, inf
J3L76, B, 5, -2, -inf, inf
4RTKC, A, 4, -2, -2, inf
J3L76, D, 5, -5, -2, inf
4RTKC, A, 4, -2, -2, inf
J3L76, E, 5, 9, -2, inf
4RTKC, A, 4, 9, 9, inf
J3L76, F, 5, 16, 9, inf
4RTKC, A, 4, 16, 16, inf
KCJ04, C, 5, 13, 16, inf
4RTKC, A, 4, 16, 16, inf
KCJ04, D, 5, -5, 16, inf
4RTKC, A, 4, 16, 16, inf
KCJ04, E, 5, 9, 16, inf
4RTKC, A, 4, 16, 16, inf
KCJ04, F, 5, 16, 16, inf
4RTKC, A, 4, 16, 16, inf
VCIBQ, A, 5, 3, 16, inf
4RTKC, A, 4, 16, 16, inf
VCIBQ, D, 5, -5, 16, inf
4RTKC, A, 4, 16, 16, inf
VCIBQ, E, 5, 9, 16, inf
4RTKC, A, 4, 16, 16, inf
VCIBQ, F, 5, 16, 16, inf
4RTKC, A, 4, 16, 16, inf
W427K, C, 5, 13, 16, inf
4RTKC, A, 4, 16, 16, inf
W427K, D, 5, -5, 16, inf
4RTKC, A, 4, 16, 16, inf
W427K, E, 5, 9, 16, inf
4RTKC, A, 4, 16, 16, inf
W427K, F, 5, 16, 16, inf
4RTKC, A, 4, 16, 16, inf
D3L1P, C, 3, 16, -inf, 16
4RTKC, B, 4, -inf, -inf, 16
J3L76, B, 5, 11, -inf, 16
4RTKC, B, 4, 11, 11, 16
J3L76, D, 5, 8, 11, 16
4RTKC, B, 4, 11, 11, 16
J3L76, E, 5, 22, 11, 16
4RTKC, B, 4, 22, 11, 16
D3L1P, C, 3, 16, -inf, 16
4RTKC, D, 4, -inf, -inf, 16
J3L76, B, 5, -1, -inf, 16
4RTKC, D, 4, -1, -1, 16
J3L76, D, 5, -4, -1, 16
4RTKC, D, 4, -1, -1, 16
J3L76, E, 5, 10, -1, 16
4RTKC, D, 4, 10, 10, 16
J3L76, F, 5, 17, 10, 16
4RTKC, D, 4, 17, 10, 16
D3L1P, C, 3, 16, -inf, 16
4RTKC, E, 4, -inf, -inf, 16
J3L76, B, 5, 9, -inf, 16
4RTKC, E, 4, 9, 9, 16
J3L76, D, 5, 6, 9, 16
4RTKC, E, 4, 9, 9, 16
J3L76, E, 5, 20, 9, 16
4RTKC, E, 4, 20, 9, 16
D3L1P, C, 3, 16, -inf, 16
4RTKC, F, 4, -inf, -inf, 16
J3L76, B, 5, -12, -inf, 16
4RTKC, F, 4, -12, -12, 16
J3L76, D, 5, -15, -12, 16
4RTKC, F, 4, -12, -12, 16
J3L76, E, 5, -1, -12, 16
4RTKC, F, 4, -1, -1, 16
J3L76, F, 5, 6, -1, 16
4RTKC, F, 4, 6, 6, 16
KCJ04, A, 5, -7, 6, 16
4RTKC, F, 4, 6, 6, 16
KCJ04, C, 5, 3, 6, 16
4RTKC, F, 4, 6, 6, 16
KCJ04, D, 5, -15, 6, 16
4RTKC, F, 4, 6, 6, 16
KCJ04, E, 5, -1, 6, 16
4RTKC, F, 4, 6, 6, 16
VCIBQ, A, 5, -7, 6, 16
4RTKC, F, 4, 6, 6, 16
VCIBQ, D, 5, -15, 6, 16
4RTKC, F, 4, 6, 6, 16
VCIBQ, E, 5, -1, 6, 16
4RTKC, F, 4, 6, 6, 16
VCIBQ, F, 5, 6, 6, 16
4RTKC, F, 4, 6, 6, 16
W427K, C, 5, 3, 6, 16
4RTKC, F, 4, 6, 6, 16
W427K, D, 5, -15, 6, 16
4RTKC, F, 4, 6, 6, 16
W427K, E, 5, -1, 6, 16
4RTKC, F, 4, 6, 6, 16
W427K, F, 5, 6, 6, 16
4RTKC, F, 4, 6, 6, 16
D3L1P, C, 3, 6, -inf, 6
J3L76, B, 4, -inf, -inf, 6
4RTKC, A, 5, 16, -inf, 6
J3L76, B, 4, 16, -inf, 6
D3L1P, C, 3, 6, -inf, 6
J3L76, D, 4, -inf, -inf, 6
4RTKC, A, 5, 4, -inf, 6
J3L76, D, 4, 4, 4, 6
4RTKC, B, 5, -1, 4, 6
J3L76, D, 4, 4, 4, 6
4RTKC, D, 5, -4, 4, 6
J3L76, D, 4, 4, 4, 6
4RTKC, E, 5, 10, 4, 6
J3L76, D, 4, 10, 4, 6
D3L1P, C, 3, 6, -inf, 6
J3L76, E, 4, -inf, -inf, 6
4RTKC, A, 5, 14, -inf, 6
J3L76, E, 4, 14, -inf, 6
D3L1P, C, 3, 6, -inf, 6
J3L76, F, 4, -inf, -inf, 6
4RTKC, A, 5, -7, -inf, 6
J3L76, F, 4, -7, -7, 6
4RTKC, B, 5, -12, -7, 6
J3L76, F, 4, -7, -7, 6
4RTKC, D, 5, -15, -7, 6
J3L76, F, 4, -7, -7, 6
4RTKC, E, 5, -1, -7, 6
J3L76, F, 4, -1, -1, 6
4RTKC, F, 5, 6, -1, 6
J3L76, F, 4, 6, -1, 6
D3L1P, C, 3, 6, -inf, 6
KCJ04, A, 4, -inf, -inf, 6
4RTKC, B, 5, -2, -inf, 6
KCJ04, A, 4, -2, -2, 6
4RTKC, D, 5, -5, -2, 6
KCJ04, A, 4, -2, -2, 6
4RTKC, E, 5, 9, -2, 6
KCJ04, A, 4, 9, -2, 6
D3L1P, C, 3, 6, -inf, 6
KCJ04, C, 4, -inf, -inf, 6
4RTKC, A, 5, -1, -inf, 6
KCJ04, C, 4, -1, -1, 6
4RTKC, B, 5, -6, -1, 6
KCJ04, C, 4, -1, -1, 6
4RTKC, D, 5, -9, -1, 6
KCJ04, C, 4, -1, -1, 6
4RTKC, E, 5, 5, -1, 6
KCJ04, C, 4, 5, 5, 6
4RTKC, F, 5, 12, 5, 6
KCJ04, C, 4, 12, 5, 6
D3L1P, C, 3, 6, -inf, 6
KCJ04, D, 4, -inf, -inf, 6
4RTKC, A, 5, 4, -inf, 6
KCJ04, D, 4, 4, 4, 6
4RTKC, B, 5, -1, 4, 6
KCJ04, D, 4, 4, 4, 6
4RTKC, E, 5, 10, 4, 6
KCJ04, D, 4, 10, 4, 6
D3L1P, C, 3, 6, -inf, 6
KCJ04, E, 4, -inf, -inf, 6
4RTKC, A, 5, 14, -inf, 6
KCJ04, E, 4, 14, -inf, 6
D3L1P, C, 3, 6, -inf, 6
KCJ04, F, 4, -inf, -inf, 6
4RTKC, A, 5, -7, -inf, 6
KCJ04, F, 4, -7, -7, 6
4RTKC, B, 5, -12, -7, 6
KCJ04, F, 4, -7, -7, 6
4RTKC, D, 5, -15, -7, 6
KCJ04, F, 4, -7, -7, 6
4RTKC, E, 5, -1, -7, 6
KCJ04, F, 4, -1, -1, 6
J3L76, B, 5, -12, -1, 6
KCJ04, F, 4, -1, -1, 6
J3L76, D, 5, -15, -1, 6
KCJ04, F, 4, -1, -1, 6
J3L76, E, 5, -1, -1, 6
KCJ04, F, 4, -1, -1, 6
J3L76, F, 5, 6, -1, 6
KCJ04, F, 4, 6, -1, 6
D3L1P, C, 3, 6, -inf, 6
VCIBQ, A, 4, -inf, -inf, 6
4RTKC, A, 5, 3, -inf, 6
VCIBQ, A, 4, 3, 3, 6
4RTKC, B, 5, -2, 3, 6
VCIBQ, A, 4, 3, 3, 6
4RTKC, D, 5, -5, 3, 6
VCIBQ, A, 4, 3, 3, 6
4RTKC, E, 5, 9, 3, 6
VCIBQ, A, 4, 9, 3, 6
D3L1P, C, 3, 6, -inf, 6
VCIBQ, D, 4, -inf, -inf, 6
4RTKC, A, 5, 4, -inf, 6
VCIBQ, D, 4, 4, 4, 6
4RTKC, B, 5, -1, 4, 6
VCIBQ, D, 4, 4, 4, 6
4RTKC, D, 5, -4, 4, 6
VCIBQ, D, 4, 4, 4, 6
4RTKC, E, 5, 10, 4, 6
VCIBQ, D, 4, 10, 4, 6
D3L1P, C, 3, 6, -inf, 6
VCIBQ, E, 4, -inf, -inf, 6
4RTKC, A, 5, 14, -inf, 6
VCIBQ, E, 4, 14, -inf, 6
D3L1P, C, 3, 6, -inf, 6
VCIBQ, F, 4, -inf, -inf, 6
4RTKC, A, 5, -7, -inf, 6
VCIBQ, F, 4, -7, -7, 6
4RTKC, B, 5, -12, -7, 6
VCIBQ, F, 4, -7, -7, 6
4RTKC, D, 5, -15, -7, 6
VCIBQ, F, 4, -7, -7, 6
4RTKC, E, 5, -1, -7, 6
VCIBQ, F, 4, -1, -1, 6
4RTKC, F, 5, 6, -1, 6
VCIBQ, F, 4, 6, -1, 6
D3L1P, C, 3, 6, -inf, 6
W427K, C, 4, -inf, -inf, 6
4RTKC, A, 5, -1, -inf, 6
W427K, C, 4, -1, -1, 6
4RTKC, B, 5, -6, -1, 6
W427K, C, 4, -1, -1, 6
4RTKC, D, 5, -9, -1, 6
W427K, C, 4, -1, -1, 6
4RTKC, E, 5, 5, -1, 6
W427K, C, 4, 5, 5, 6
4RTKC, F, 5, 12, 5, 6
W427K, C, 4, 12, 5, 6
D3L1P, C, 3, 6, -inf, 6
W427K, D, 4, -inf, -inf, 6
4RTKC, A, 5, 4, -inf, 6
W427K, D, 4, 4, 4, 6
4RTKC, B, 5, -1, 4, 6
W427K, D, 4, 4, 4, 6
4RTKC, D, 5, -4, 4, 6
W427K, D, 4, 4, 4, 6
4RTKC, E, 5, 10, 4, 6
W427K, D, 4, 10, 4, 6
D3L1P, C, 3, 6, -inf, 6
W427K, E, 4, -inf, -inf, 6
4RTKC, A, 5, 14, -inf, 6
W427K, E, 4, 14, -inf, 6
D3L1P, C, 3, 6, -inf, 6
W427K, F, 4, -inf, -inf, 6
4RTKC, A, 5, -7, -inf, 6
W427K, F, 4, -7, -7, 6
4RTKC, B, 5, -12, -7, 6
W427K, F, 4, -7, -7, 6
4RTKC, D, 5, -15, -7, 6
W427K, F, 4, -7, -7, 6
4RTKC, E, 5, -1, -7, 6
W427K, F, 4, -1, -1, 6
4RTKC, F, 5, 6, -1, 6
W427K, F, 4, 6, -1, 6
D3L1P, C, 3, 6, -inf, 6
76AUB, B, 2, 6, 6, inf
D3L1P, D, 3, inf, 6, inf
4RTKC, A, 4, -inf, 6, inf
J3L76, B, 5, -20, 6, inf
4RTKC, A, 4, -20, 6, inf
J3L76, C, 5, -5, 6, inf
4RTKC, A, 4, -5, 6, inf
J3L76, E, 5, -9, 6, inf
4RTKC, A, 4, -5, 6, inf
J3L76, F, 5, -2, 6, inf
4RTKC, A, 4, -2, 6, inf
KCJ04, C, 5, -5, 6, inf
4RTKC, A, 4, -2, 6, inf
KCJ04, D, 5, -23, 6, inf
4RTKC, A, 4, -2, 6, inf
KCJ04, E, 5, -9, 6, inf
4RTKC, A, 4, -2, 6, inf
KCJ04, F, 5, -2, 6, inf
4RTKC, A, 4, -2, 6, inf
VCIBQ, A, 5, -15, 6, inf
4RTKC, A, 4, -2, 6, inf
VCIBQ, C, 5, -5, 6, inf
4RTKC, A, 4, -2, 6, inf
VCIBQ, E, 5, -9, 6, inf
4RTKC, A, 4, -2, 6, inf
VCIBQ, F, 5, -2, 6, inf
4RTKC, A, 4, -2, 6, inf
W427K, C, 5, -5, 6, inf
4RTKC, A, 4, -2, 6, inf
W427K, D, 5, -23, 6, inf
4RTKC, A, 4, -2, 6, inf
W427K, E, 5, -9, 6, inf
4RTKC, A, 4, -2, 6, inf
W427K, F, 5, -2, 6, inf
4RTKC, A, 4, -2, 6, inf
D3L1P, D, 3, -2, 6, inf
76AUB, B, 2, 6, 6, inf
D3L1P, E, 3, inf, 6, inf
4RTKC, A, 4, -inf, 6, inf
J3L76, B, 5, -6, 6, inf
4RTKC, A, 4, -6, 6, inf
J3L76, C, 5, 9, 6, inf
4RTKC, A, 4, 9, 9, inf
J3L76, D, 5, -9, 9, inf
4RTKC, A, 4, 9, 9, inf
J3L76, F, 5, 12, 9, inf
4RTKC, A, 4, 12, 12, inf
KCJ04, C, 5, 9, 12, inf
4RTKC, A, 4, 12, 12, inf
KCJ04, D, 5, -9, 12, inf
4RTKC, A, 4, 12, 12, inf
KCJ04, E, 5, 5, 12, inf
4RTKC, A, 4, 12, 12, inf
KCJ04, F, 5, 12, 12, inf
4RTKC, A, 4, 12, 12, inf
VCIBQ, A, 5, -1, 12, inf
4RTKC, A, 4, 12, 12, inf
VCIBQ, C, 5, 9, 12, inf
4RTKC, A, 4, 12, 12, inf
VCIBQ, D, 5, -9, 12, inf
4RTKC, A, 4, 12, 12, inf
VCIBQ, F, 5, 12, 12, inf
4RTKC, A, 4, 12, 12, inf
W427K, C, 5, 9, 12, inf
4RTKC, A, 4, 12, 12, inf
W427K, D, 5, -9, 12, inf
4RTKC, A, 4, 12, 12, inf
W427K, E, 5, 5, 12, inf
4RTKC, A, 4, 12, 12, inf
W427K, F, 5, 12, 12, inf
4RTKC, A, 4, 12, 12, inf
D3L1P, E, 3, 12, 6, 12
4RTKC, B, 4, -inf, 6, 12
J3L76, B, 5, 7, 6, 12
4RTKC, B, 4, 7, 7, 12
J3L76, C, 5, 22, 7, 12
4RTKC, B, 4, 22, 7, 12
D3L1P, E, 3, 12, 6, 12
4RTKC, C, 4, -inf, 6, 12
J3L76, B, 5, -10, 6, 12
4RTKC, C, 4, -10, 6, 12
J3L76, C, 5, 5, 6, 12
4RTKC, C, 4, 5, 6, 12
J3L76, D, 5, -13, 6, 12
4RTKC, C, 4, 5, 6, 12
J3L76, F, 5, 8, 6, 12
4RTKC, C, 4, 8, 8, 12
KCJ04, A, 5, -5, 8, 12
4RTKC, C, 4, 8, 8, 12
KCJ04, D, 5, -13, 8, 12
4RTKC, C, 4, 8, 8, 12
KCJ04, E, 5, 1, 8, 12
4RTKC, C, 4, 8, 8, 12
KCJ04, F, 5, 8, 8, 12
4RTKC, C, 4, 8, 8, 12
VCIBQ, A, 5, -5, 8, 12
4RTKC, C, 4, 8, 8, 12
VCIBQ, C, 5, 5, 8, 12
4RTKC, C, 4, 8, 8, 12
VCIBQ, D, 5, -13, 8, 12
4RTKC, C, 4, 8, 8, 12
VCIBQ, F, 5, 8, 8, 12
4RTKC, C, 4, 8, 8, 12
W427K, C, 5, 5, 8, 12
4RTKC, C, 4, 8, 8, 12
W427K, D, 5, -13, 8, 12
4RTKC, C, 4, 8, 8, 12
W427K, E, 5, 1, 8, 12
4RTKC, C, 4, 8, 8, 12
W427K, F, 5, 8, 8, 12
4RTKC, C, 4, 8, 8, 12
D3L1P, E, 3, 8, 6, 8
4RTKC, D, 4, -inf, 6, 8
J3L76, B, 5, -5, 6, 8
4RTKC, D, 4, -5, 6, 8
J3L76, C, 5, 10, 6, 8
4RTKC, D, 4, 10, 6, 8
D3L1P, E, 3, 8, 6, 8
4RTKC, F, 4, -inf, 6, 8
J3L76, B, 5, -16, 6, 8
4RTKC, F, 4, -16, 6, 8
J3L76, C, 5, -1, 6, 8
4RTKC, F, 4, -1, 6, 8
J3L76, D, 5, -19, 6, 8
4RTKC, F, 4, -1, 6, 8
J3L76, F, 5, 2, 6, 8
4RTKC, F, 4, 2, 6, 8
KCJ04, A, 5, -11, 6, 8
4RTKC, F, 4, 2, 6, 8
KCJ04, C, 5, -1, 6, 8
4RTKC, F, 4, 2, 6, 8
KCJ04, D, 5, -19, 6, 8
4RTKC, F, 4, 2, 6, 8
KCJ04, E, 5, -5, 6, 8
4RTKC, F, 4, 2, 6, 8
VCIBQ, A, 5, -11, 6, 8
4RTKC, F, 4, 2, 6, 8
VCIBQ, C, 5, -1, 6, 8
4RTKC, F, 4, 2, 6, 8
VCIBQ, D, 5, -19, 6, 8
4RTKC, F, 4, 2, 6, 8
VCIBQ, F, 5, 2, 6, 8
4RTKC, F, 4, 2, 6, 8
W427K, C, 5, -1, 6, 8
4RTKC, F, 4, 2, 6, 8
W427K, D, 5, -19, 6, 8
4RTKC, F, 4, 2, 6, 8
W427K, E, 5, -5, 6, 8
4RTKC, F, 4, 2, 6, 8
W427K, F, 5, 2, 6, 8
4RTKC, F, 4, 2, 6, 8
D3L1P, E, 3, 2, 6, 8
76AUB, B, 2, 6, 6, inf
D3L1P, F, 3, inf, 6, inf
4RTKC, A, 4, -inf, 6, inf
J3L76, B, 5, 1, 6, inf
4RTKC, A, 4, 1, 6, inf
J3L76, C, 5, 16, 6, inf
4RTKC, A, 4, 16, 16, inf
J3L76, D, 5, -2, 16, inf
4RTKC, A, 4, 16, 16, inf
J3L76, E, 5, 12, 16, inf
4RTKC, A, 4, 16, 16, inf
KCJ04, C, 5, 16, 16, inf
4RTKC, A, 4, 16, 16, inf
KCJ04, D, 5, -2, 16, inf
4RTKC, A, 4, 16, 16, inf
KCJ04, E, 5, 12, 16, inf
4RTKC, A, 4, 16, 16, inf
KCJ04, F, 5, 19, 16, inf
4RTKC, A, 4, 19, 19, inf
VCIBQ, A, 5, 6, 19, inf
4RTKC, A, 4, 19, 19, inf
VCIBQ, C, 5, 16, 19, inf
4RTKC, A, 4, 19, 19, inf
VCIBQ, D, 5, -2, 19, inf
4RTKC, A, 4, 19, 19, inf
VCIBQ, E, 5, 12, 19, inf
4RTKC, A, 4, 19, 19, inf
W427K, C, 5, 16, 19, inf
4RTKC, A, 4, 19, 19, inf
W427K, D, 5, -2, 19, inf
4RTKC, A, 4, 19, 19, inf
W427K, E, 5, 12, 19, inf
4RTKC, A, 4, 19, 19, inf
W427K, F, 5, 19, 19, inf
4RTKC, A, 4, 19, 19, inf
D3L1P, F, 3, 19, 6, 19
4RTKC, B, 4, -inf, 6, 19
J3L76, B, 5, 14, 6, 19
4RTKC, B, 4, 14, 14, 19
J3L76, C, 5, 29, 14, 19
4RTKC, B, 4, 29, 14, 19
D3L1P, F, 3, 19, 6, 19
4RTKC, C, 4, -inf, 6, 19
J3L76, B, 5, -3, 6, 19
4RTKC, C, 4, -3, 6, 19
J3L76, C, 5, 12, 6, 19
4RTKC, C, 4, 12, 12, 19
J3L76, D, 5, -6, 12, 19
4RTKC, C, 4, 12, 12, 19
J3L76, E, 5, 8, 12, 19
4RTKC, C, 4, 12, 12, 19
KCJ04, A, 5, 2, 12, 19
